gx,gy,gz,ax,ay,az,label
-114503816,11908396,-26717558,-13232422,26367188,8864746,0
-1908397,9236641,45801528,-13769531,18066406,8964844,0
-8396947,6183206,-206106868,-13964844,14892578,89819336,0
-16030534,89312976,-7633588,-14428711,20019532,8977051,0
-480916032,389312984,-183206116,-13696289,19042968,90722652,0
-15267176,793893168,-129771,-13964844,24902344,90722652,0
244274816,419847336,7633588,-13232422,24414062,9038086,0
7633588,77099232,-16793894,-13500976,18066406,89941408,0
-229007632,6183206,15267176,-13989258,1928711,900634736,0
-10687023,8778626,-91603052,-1352539,20507812,8979492,0
-15267176,99236643,-53435112,-13330078,18310546,8996582,0
-21374046,9847328,45801528,-13549804,17822266,89697268,0
-30534352,9694657,7633588,-1340332,22949218,90234376,0
-7633588,8854962,22900764,-14086914,2368164,90600584,0
-61068704,740458,6870229,-12719726,18310546,89697268,0
53435112,9389313,-91603052,-13964844,1586914,8952637,0
-7633588,8015267,-206106868,-13500976,20263672,89404296,0
-14503818,78625952,-22900764,-14135742,2319336,9030762,0
-122137408,793893168,-229007632,-13671875,24414062,898681664,0
-91603052,83206104,-91603052,-13085938,2319336,88623048,0
-8396947,5648855,-30534352,-14135742,175781252,8967285,0
-114503816,6870229,183206116,-14282226,22460938,894531264,0
-99236648,740458,-7633588,-13183594,21972656,898681664,0
-15267176,7251908,-53435112,-13476562,19042968,8967285,0
-129771,7633588,-198473292,-13134766,21240234,89501952,0
-15267176,86259544,-129771,-1340332,16113282,90185544,0
7633588,7480916,-6870229,-13574219,24902344,8874512,0
-60305348,8778626,0,-13745117,25878906,9050293,0
0,6335878,-30534352,-14038086,20996094,8947754,0
-7633588,10305344,-6870229,-13549804,22216796,8913574,0
-32824428,10992366,-6870229,-13867188,22705078,8979492,0
-91603052,610687,-7633588,-13476562,23925782,90405272,0
-40458016,1259542,-8396947,-13720703,16113282,9001465,0
114503816,27480916,-198473292,-14501953,2319336,9013672,0
-28244276,740458,-30534352,-13378906,234375,890625,0
-16793894,9389313,-7633588,-1381836,18554688,8955078,0
-16030534,10458015,-32824428,-13842774,22460938,89624024,0
-259542,10305344,-21374046,-14135742,16357422,89819336,0
0,70229008,0,-13720703,20996094,888916,0
15267176,5801527,-244274816,-140625,24414062,9020996,0
-122137408,10534351,-91603052,-13671875,18798828,89746092,0
-61068704,71755732,-14503818,-13574219,1953125,8984375,0
-13740458,45038168,-16030534,-13842774,26123046,8979492,0
-6870229,10229008,7633588,-13574219,25146484,891601536,0
-16793894,10,-3816794,-1315918,2709961,898681664,0
-229007632,732824436,-16030534,-13574219,175781252,8828125,0
-16030534,55725192,-27480916,-13769531,22216796,8930664,0
-16793894,58778624,-30534352,-13354492,18798828,8979492,0
-1908397,8015267,-53435112,-13500976,20751954,8967285,0
-61068704,78625952,-2519084,-13549804,17333984,8930664,0
-8396947,1038168,-6870229,-13574219,175781252,8984375,0
7633588,4961832,0,-13696289,20019532,8937988,0
